=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.09.15 21:53:42 =~=~=~=~=~=~=~=~=~=~=~=
Reference Angle [degree],Measured Angle [degree] 
102.500000,33.422718
99.500000,26.806225
96.500000,24.273352
93.500000,22.242422
90.500000,20.617992
87.500000,18.862669
84.500000,17.165689
81.500000,15.471217
78.500000,13.290461
75.500000,10.532124
72.500000,1.948552
69.500000,355.558868
66.500000,356.759674
63.500000,354.894684
60.500000,353.108246
57.500000,351.259308
54.500000,349.446198
51.500000,347.466431
48.500000,344.851196
45.500000,340.597504
42.500000,333.386841
39.500000,329.219849
36.500000,327.057892
33.500000,325.319244
30.500000,323.464172
27.500000,321.852966
24.500000,320.190063
21.500000,318.307068
18.500000,316.321594
15.500000,313.652374
12.500000,306.910004
9.500000,297.950409
6.500000,295.292114
3.500000,293.371490
0.500000,291.592590
360.500000,291.582153
357.500000,289.571899
354.500000,287.791290
351.500000,285.816620
348.500000,283.281830
345.500000,280.172180
342.500000,272.791412
339.500000,266.513062
336.500000,263.943024
333.500000,261.909088
330.500000,260.089264
327.500000,258.092072
324.500000,256.308838
321.500000,254.326538
318.500000,251.787460
315.500000,247.753403
312.500000,237.263626
309.500000,233.505768
306.500000,231.376648
303.500000,229.377075
300.500000,227.850723
297.500000,226.034790
294.500000,224.351089
291.500000,222.649643
288.500000,220.306351
285.500000,217.302917
282.500000,212.061920
279.500000,205.083221
276.500000,202.365463
273.500000,200.186600
270.500000,198.096008
267.500000,196.534409
264.500000,194.598450
261.500000,192.489960
258.500000,190.433029
255.500000,187.608582
252.500000,178.381989
249.500000,172.267288
246.500000,169.799255
243.500000,168.001099
240.500000,166.178574
237.500000,164.253235
234.500000,162.676468
231.500000,160.591293
228.500000,157.983032
225.500000,154.300629
222.500000,147.131500
219.500000,143.375122
216.500000,141.148148
213.500000,139.527710
210.500000,137.842163
207.500000,136.176849
204.500000,134.692459
201.500000,132.768250
198.500000,130.920776
195.500000,128.194992
192.500000,122.302849
189.500000,114.348747
186.500000,111.840538
183.500000,109.795204
180.500000,108.140167
177.500000,106.406189
174.500000,104.596619
171.500000,102.901115
168.500000,100.638634
165.500000
Reference Angle [degree],Measured Angle [degree] 
0.200000,287.482056
3.200000,288.339325
6.200000,286.459381
9.200000,284.273254
12.200000,281.622101
15.200000,278.146667
18.200001,269.561127
21.200001,264.714386
24.200001,262.143890
27.200001,259.998566
30.200001,258.198547
33.200001,256.270447
36.200001,254.136383
39.200001,252.188736
42.200001,249.472015
45.200001,244.614899
48.200001,234.235535
51.200001,231.213593
54.200001,229.173035
57.200001,227.507111
60.200001,225.538376
63.200001,223.961166
66.199997,222.192261
69.199997,220.143188
72.199997,217.810349
75.199997,214.430084
78.199997,207.909027
81.199997,202.134018
84.199997,199.534790
87.199997,197.551483
90.199997,195.646011
93.199997,193.716797
96.199997,191.911819
99.199997,190.011673
