Reference Angle [degree],Measured Angle [degree] 
Reference Angle [degree],Measured Angle [degree] 
645.200012,106.852448
648.200012,113.486717
651.200012,116.369156
654.200012,118.269058
657.200012,119.785995
660.200012,121.733421
663.200012,123.079987
666.200012,124.922134
669.200012,126.669250
672.200012,128.510681
675.200012,131.301117
678.200012,141.034485
681.200012,145.335556
684.200012,147.648529
687.200012,149.393753
690.200012,150.873932
693.200012,152.888245
696.200012,154.334015
699.200012,156.337372
702.200012,158.895615
705.200012,162.710846
708.200012,170.123230
711.200012,173.706024
714.200012,176.065811
717.200012,177.793320
Der STM32H7 hat folgende Temperatur: 45.000000°
Strom in Phase U: 0.277706A; Phase V: 0.081826A; Phase W: 0.305401A; NTC Spannung: 1.019414V 
Spannung: Phase U: 0.047082V; Phase V: 0.016265V; Phase W: 0.017121V; Versorgungsspannung: 17.987619V 
HALL Sensor Daten: 104.441528
Driver FAULT1: 0.000000 FAULT2: 0.000000 
